D:\clg_stuff\self_driving_car\IMG\center_2024_02_16_00_52_26_949.jpg,D:\clg_stuff\self_driving_car\IMG\left_2024_02_16_00_52_26_949.jpg,D:\clg_stuff\self_driving_car\IMG\right_2024_02_16_00_52_26_949.jpg,0,0,0,8.916691E-06
D:\clg_stuff\self_driving_car\IMG\center_2024_02_16_00_52_27_016.jpg,D:\clg_stuff\self_driving_car\IMG\left_2024_02_16_00_52_27_016.jpg,D:\clg_stuff\self_driving_car\IMG\right_2024_02_16_00_52_27_016.jpg,0,0,0,9.835301E-06
D:\clg_stuff\self_driving_car\IMG\center_2024_02_16_00_52_27_090.jpg,D:\clg_stuff\self_driving_car\IMG\left_2024_02_16_00_52_27_090.jpg,D:\clg_stuff\self_driving_car\IMG\right_2024_02_16_00_52_27_090.jpg,0,0,0,8.3593E-06
D:\clg_stuff\self_driving_car\IMG\center_2024_02_16_00_52_27_159.jpg,D:\clg_stuff\self_driving_car\IMG\left_2024_02_16_00_52_27_159.jpg,D:\clg_stuff\self_driving_car\IMG\right_2024_02_16_00_52_27_159.jpg,0,0,0,1.819419E-05
D:\clg_stuff\self_driving_car\IMG\center_2024_02_16_00_52_27_229.jpg,D:\clg_stuff\self_driving_car\IMG\left_2024_02_16_00_52_27_229.jpg,D:\clg_stuff\self_driving_car\IMG\right_2024_02_16_00_52_27_229.jpg,0,0.1380516,0,0.002225006
D:\clg_stuff\self_driving_car\IMG\center_2024_02_16_00_52_27_299.jpg,D:\clg_stuff\self_driving_car\IMG\left_2024_02_16_00_52_27_299.jpg,D:\clg_stuff\self_driving_car\IMG\right_2024_02_16_00_52_27_299.jpg,0,0.3265989,0,0.2494626
D:\clg_stuff\self_driving_car\IMG\center_2024_02_16_00_52_27_370.jpg,D:\clg_stuff\self_driving_car\IMG\left_2024_02_16_00_52_27_370.jpg,D:\clg_stuff\self_driving_car\IMG\right_2024_02_16_00_52_27_370.jpg,0,0.5616579,0,0.7058993
D:\clg_stuff\self_driving_car\IMG\center_2024_02_16_00_52_27_440.jpg,D:\clg_stuff\self_driving_car\IMG\left_2024_02_16_00_52_27_440.jpg,D:\clg_stuff\self_driving_car\IMG\right_2024_02_16_00_52_27_440.jpg,-0.15,0.7509702,0,1.158503
D:\clg_stuff\self_driving_car\IMG\center_2024_02_16_00_52_27_511.jpg,D:\clg_stuff\self_driving_car\IMG\left_2024_02_16_00_52_27_511.jpg,D:\clg_stuff\self_driving_car\IMG\right_2024_02_16_00_52_27_511.jpg,-0.35,0.9842973,0,2.001018
D:\clg_stuff\self_driving_car\IMG\center_2024_02_16_00_52_27_580.jpg,D:\clg_stuff\self_driving_car\IMG\left_2024_02_16_00_52_27_580.jpg,D:\clg_stuff\self_driving_car\IMG\right_2024_02_16_00_52_27_580.jpg,-0.5000001,1,0,2.702126
